"","ID","Time","DV","Treatment","Model"
"1",1,0,481.2,0,1
"2",1,1,525.1,0,1
"3",1,2,474.1,0,1
"4",1,3,538.3,0,1
"5",1,4,518.9,0,1
"6",1,5,500.8,0,1
"7",1,6,534.8,0,1
"8",1,7,535.1,0,1
"9",1,8,559.7,0,1
"10",1,9,540.9,0,1
"11",1,10,553.4,0,1
"12",1,11,561.9,0,1
"13",1,12,562.5,0,1
"14",1,13,556,0,1
"15",1,14,573.2,0,1
"16",1,15,569.3,0,1
"17",1,16,539.3,0,1
"18",1,17,548.6,0,1
"19",1,18,575.3,0,1
"20",1,19,548.2,0,1
"21",1,20,585.4,0,1
"22",1,21,578,0,1
"23",1,22,577.5,0,1
"24",1,23,574.8,0,1
"25",1,24,534.6,0,1
"26",1,25,614.3,0,1
"27",1,26,640.5,0,1
"28",1,27,642.1,0,1
"29",1,28,567.7,0,1
"30",1,29,616.5,0,1
"31",1,30,573.3,0,1
"32",1,31,651.9,0,1
"33",1,32,589.6,0,1
"34",1,33,688.5,0,1
"35",1,34,585.4,0,1
"36",1,35,655.5,0,1
"37",1,36,695.7,0,1
"38",1,37,625.4,0,1
"39",1,38,666.8,0,1
"40",1,39,688.2,0,1
"41",1,40,660,0,1
"42",1,41,657.1,0,1
"43",1,42,715.3,0,1
"44",1,43,717,0,1
"45",1,44,762.2,0,1
"46",1,45,698.6,0,1
"47",1,46,720.8,0,1
"48",1,47,729.6,0,1
"49",1,48,662.2,0,1
"50",1,49,620,0,1
"51",1,50,720.8,0,1
"52",1,51,746.6,0,1
"53",1,52,688.9,0,1
"54",1,53,763.4,0,1
"55",1,54,736.1,0,1
"56",1,55,770.1,0,1
"57",1,56,726.1,0,1
"58",1,57,752.3,0,1
"59",1,58,698.6,0,1
"60",1,59,735.1,0,1
"61",1,60,735.7,0,1
"62",1,61,740.4,0,1
"63",1,62,689.8,0,1
"64",1,63,761.3,0,1
"65",1,64,791,0,1
"66",1,65,745.3,0,1
"67",1,66,761.5,0,1
"68",1,67,817.1,0,1
"69",1,68,787.6,0,1
"70",1,69,805.5,0,1
"71",1,70,809.1,0,1
"72",1,71,818.9,0,1
"73",1,72,840.1,0,1
"74",1,73,816.3,0,1
"75",1,74,807.7,0,1
"76",1,75,772.4,0,1
"77",1,76,843.1,0,1
"78",1,77,860.8,0,1
"79",1,78,863.8,0,1
"80",1,79,799.9,0,1
"81",1,80,901.3,0,1
"82",1,81,809.6,0,1
"83",1,82,815.6,0,1
"84",1,83,921.3,0,1
"85",1,84,850.8,0,1
"86",1,85,820.8,0,1
"87",1,86,873.6,0,1
"88",1,87,911.1,0,1
"89",1,88,924.2,0,1
"90",1,89,907.9,0,1
"91",1,90,885.3,0,1
"92",2,0,539.2,0,1
"93",2,1,565.1,0,1
"94",2,2,580.1,0,1
"95",2,3,607.9,0,1
"96",2,4,589.3,0,1
"97",2,5,583.9,0,1
"98",2,6,601,0,1
"99",2,7,602.5,0,1
"100",2,8,571.8,0,1
"101",2,9,553.3,0,1
"102",2,10,579.1,0,1
"103",2,11,605.7,0,1
"104",2,12,607.9,0,1
"105",2,13,629.8,0,1
"106",2,14,615,0,1
"107",2,15,624.8,0,1
"108",2,16,620.9,0,1
"109",2,17,693.3,0,1
"110",2,18,634.5,0,1
"111",2,19,624.6,0,1
"112",2,20,682.4,0,1
"113",2,21,624,0,1
"114",2,22,652.6,0,1
"115",2,23,637.6,0,1
"116",2,24,692.3,0,1
"117",2,25,728.3,0,1
"118",2,26,688.7,0,1
"119",2,27,680.3,0,1
"120",2,28,669.9,0,1
"121",2,29,750.6,0,1
"122",2,30,717.4,0,1
"123",2,31,726.4,0,1
"124",2,32,702.9,0,1
"125",2,33,701.1,0,1
"126",2,34,752.9,0,1
"127",2,35,765.5,0,1
"128",2,36,713.9,0,1
"129",2,37,785.3,0,1
"130",2,38,753.8,0,1
"131",2,39,744.3,0,1
"132",2,40,790.5,0,1
"133",2,41,743.3,0,1
"134",2,42,754,0,1
"135",2,43,853.4,0,1
"136",2,44,834.2,0,1
"137",2,45,793.3,0,1
"138",2,46,767.3,0,1
"139",2,47,770.4,0,1
"140",2,48,856.4,0,1
"141",2,49,840.6,0,1
"142",2,50,784.8,0,1
"143",2,51,859.3,0,1
"144",2,52,864,0,1
"145",2,53,843.7,0,1
"146",2,54,956.2,0,1
"147",2,55,859.4,0,1
"148",2,56,824.9,0,1
"149",2,57,916.9,0,1
"150",2,58,867,0,1
"151",2,59,891.7,0,1
"152",2,60,887.5,0,1
"153",2,61,911.3,0,1
"154",2,62,910.6,0,1
"155",2,63,913.5,0,1
"156",2,64,897.1,0,1
"157",2,65,994.3,0,1
"158",2,66,967.6,0,1
"159",2,67,955.6,0,1
"160",2,68,1093.6,0,1
"161",2,69,996.8,0,1
"162",2,70,960.7,0,1
"163",2,71,1072.1,0,1
"164",2,72,1042.1,0,1
"165",2,73,1065.9,0,1
"166",2,74,1051.5,0,1
"167",2,75,1026.8,0,1
"168",2,76,1064.5,0,1
"169",2,77,1045.2,0,1
"170",2,78,1039.4,0,1
"171",2,79,1044.1,0,1
"172",2,80,1128.8,0,1
"173",2,81,1086.4,0,1
"174",2,82,1183,0,1
"175",2,83,1093.2,0,1
"176",2,84,1255.2,0,1
"177",2,85,1139.8,0,1
"178",2,86,1133.5,0,1
"179",2,87,1121.5,0,1
"180",2,88,1174.3,0,1
"181",2,89,1263.2,0,1
"182",2,90,1174.8,0,1
"183",3,0,486.3,0,0
"184",3,1,460.2,0,0
"185",3,2,472.5,0,0
"186",3,3,475,0,0
"187",3,4,453.4,0,0
"188",3,5,477.8,0,0
"189",3,6,490.1,0,0
"190",3,7,454,0,0
"191",3,8,490.5,0,0
"192",3,9,454.7,0,0
"193",3,10,526.9,0,0
"194",3,11,512.4,0,0
"195",3,12,534.7,0,0
"196",3,13,474,0,0
"197",3,14,488.9,0,0
"198",3,15,497.3,0,0
"199",3,16,484.7,0,0
"200",3,17,515.2,0,0
"201",3,18,552.6,0,0
"202",3,19,526,0,0
"203",3,20,504.3,0,0
"204",3,21,503.4,0,0
"205",3,22,535.2,0,0
"206",3,23,549.3,0,0
"207",3,24,515.5,0,0
"208",3,25,540.7,0,0
"209",3,26,598.4,0,0
"210",3,27,514.2,0,0
"211",3,28,592.9,0,0
"212",3,29,560.7,0,0
"213",3,30,572.9,0,0
"214",3,31,593.5,0,0
"215",3,32,576.8,0,0
"216",3,33,588,0,0
"217",3,34,627.9,0,0
"218",3,35,580.8,0,0
"219",3,36,570.5,0,0
"220",3,37,601.8,0,0
"221",3,38,610.3,0,0
"222",3,39,577.7,0,0
"223",3,40,628,0,0
"224",3,41,633.6,0,0
"225",3,42,660.4,0,0
"226",3,43,629.1,0,0
"227",3,44,624.3,0,0
"228",3,45,639.2,0,0
"229",3,46,690.2,0,0
"230",3,47,646.6,0,0
"231",3,48,655.8,0,0
"232",3,49,612.8,0,0
"233",3,50,649.4,0,0
"234",3,51,659.1,0,0
"235",3,52,685.5,0,0
"236",3,53,695.3,0,0
"237",3,54,686.4,0,0
"238",3,55,644.8,0,0
"239",3,56,751.4,0,0
"240",3,57,741.1,0,0
"241",3,58,718.5,0,0
"242",3,59,670.4,0,0
"243",3,60,729.8,0,0
"244",3,61,722.3,0,0
"245",3,62,779.3,0,0
"246",3,63,693.5,0,0
"247",3,64,767.3,0,0
"248",3,65,712.4,0,0
"249",3,66,733.7,0,0
"250",3,67,781.7,0,0
"251",3,68,795.6,0,0
"252",3,69,780,0,0
"253",3,70,773.8,0,0
"254",3,71,757.6,0,0
"255",3,72,792.6,0,0
"256",3,73,778.3,0,0
"257",3,74,773.5,0,0
"258",3,75,784.5,0,0
"259",3,76,745.2,0,0
"260",3,77,783.8,0,0
"261",3,78,822,0,0
"262",3,79,791.9,0,0
"263",3,80,794.3,0,0
"264",3,81,777.4,0,0
"265",3,82,806.1,0,0
"266",3,83,767.5,0,0
"267",3,84,857.4,0,0
"268",3,85,818.3,0,0
"269",3,86,943.7,0,0
"270",3,87,896.5,0,0
"271",3,88,882.4,0,0
"272",3,89,895.9,0,0
